,A,B,P,DA,MA,MC,PA,SC,SK,Age_range,Playable,Sexualization,Romantic_Interest,Is_Female
0,0,0,1,0,0,0,1,0,0,5,1,0,0.0,1
1,0,0,1,0,0,0,0,1,0,7,0,0,0.0,1
2,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
3,0,1,0,0,0,1,0,0,0,3,0,0,0.0,1
4,1,0,0,0,0,0,0,1,0,5,0,0,0.0,1
5,0,0,1,0,0,1,0,0,0,5,0,2,1.0,1
6,0,0,1,1,0,0,0,0,0,3,0,0,0.0,1
7,0,0,1,1,0,0,0,0,0,0,0,2,0.0,1
8,0,0,1,1,0,0,0,0,0,2,0,0,0.0,1
9,0,0,1,0,0,1,0,0,0,5,0,1,1.0,1
10,0,0,1,1,0,0,0,0,0,2,0,0,0.0,1
11,0,0,1,1,0,0,0,0,0,0,0,0,0.0,1
12,0,1,0,0,0,0,0,1,0,0,0,3,1.0,1
13,0,1,0,0,0,0,0,1,0,0,0,3,0.0,1
14,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
15,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
16,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
17,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
18,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
19,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
20,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
21,0,0,1,0,0,0,0,1,0,0,0,2,0.0,1
22,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
23,0,0,1,0,0,1,0,0,0,0,0,1,0.0,1
24,0,0,1,0,0,0,0,1,0,7,0,0,0.0,1
25,0,0,1,0,0,0,0,1,0,2,0,1,0.0,1
26,0,0,1,0,0,1,0,0,0,2,0,0,0.0,1
27,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1
28,0,0,1,0,0,1,0,0,0,5,0,2,1.0,1
29,0,0,1,0,0,0,0,1,0,5,0,2,0.5,1
30,0,0,1,0,0,0,0,1,0,5,0,2,0.5,1
31,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1
32,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1
33,0,0,1,0,0,0,1,0,0,5,1,0,0.0,1
34,0,1,0,0,0,1,0,0,0,5,0,1,0.0,1
35,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
36,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
37,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
38,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
39,0,1,0,0,0,1,0,0,0,5,0,0,0.0,1
40,1,0,0,0,0,0,0,1,0,5,0,0,0.0,1
41,0,1,0,0,0,0,0,1,0,5,0,0,0.0,1
42,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
43,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
44,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
45,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
46,0,0,1,0,0,0,0,1,0,5,0,0,1.0,1
47,1,0,0,0,0,1,0,0,0,5,0,0,0.0,1
48,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
49,0,1,0,0,0,1,0,0,0,5,0,0,0.0,1
50,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
51,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
52,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
53,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
54,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
55,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
56,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
57,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
58,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
59,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0
60,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
61,0,0,1,1,0,0,0,0,0,3,0,0,0.0,0
62,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
63,0,1,0,0,0,1,0,0,0,3,0,0,0.0,0
64,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
65,0,1,0,0,0,1,0,0,0,5,0,0,0.0,0
66,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
67,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
68,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
69,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
70,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
71,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
72,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
73,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
74,0,0,1,0,0,0,0,1,0,1,0,0,0.0,0
75,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
76,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
77,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
78,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
79,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
80,0,1,0,0,0,1,0,0,0,5,0,0,0.0,0
81,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
82,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
83,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
84,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
85,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
86,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
87,0,0,1,0,0,0,0,0,1,0,1,0,0.0,0
88,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
89,0,0,1,0,0,0,1,0,0,3,1,0,0.0,0
90,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
91,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
92,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
93,0,0,1,0,0,0,0,1,0,3,0,0,0.0,0
94,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
95,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
96,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
97,0,0,1,0,0,0,0,1,0,7,0,0,0.0,0
98,0,0,1,0,0,0,0,1,0,7,0,0,0.0,0
99,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
100,0,0,1,0,0,0,0,1,0,7,0,0,0.0,0
101,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
102,0,0,1,0,0,1,0,0,0,2,0,0,0.0,0
103,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
104,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
105,1,0,0,0,0,0,0,1,0,3,0,0,0.0,0
106,0,0,1,0,0,0,1,0,0,5,1,2,0.0,0
107,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
108,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
109,0,1,0,0,0,1,0,0,0,5,0,0,0.0,0
110,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
111,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
112,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
113,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
114,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
115,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
116,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
117,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
118,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
119,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
120,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
121,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
122,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
123,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
124,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
125,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
126,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
127,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
128,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
129,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
130,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
131,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
132,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
133,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
134,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
135,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
136,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
137,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
138,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
139,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
140,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0
141,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
142,0,0,1,0,0,0,0,1,0,2,0,0,0.0,0
143,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
144,0,1,0,0,0,0,0,1,0,7,0,0,0.0,0
145,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
146,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
147,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
148,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
149,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
150,0,0,1,0,0,0,0,1,0,7,0,0,0.0,0
151,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
152,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
153,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
154,0,0,1,1,0,0,0,0,0,2,0,0,0.0,0
155,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
156,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
157,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
158,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
159,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
160,0,0,1,0,0,1,0,0,0,7,0,0,0.0,0
161,0,0,1,0,0,0,0,0,1,5,0,0,0.0,0
162,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
163,0,0,1,0,0,0,1,0,0,2,1,0,0.0,0
164,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
165,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0
166,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
167,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
168,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0
169,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
170,0,1,0,0,0,1,0,0,0,2,0,0,0.0,0
171,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
172,0,1,0,0,0,1,0,0,0,7,0,0,0.0,0
173,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0
174,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
175,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
176,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
177,1,0,0,0,1,0,0,0,0,5,0,0,0.0,1
178,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
179,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
180,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
181,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
182,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
183,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
184,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
185,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
186,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
187,0,1,0,0,0,1,0,0,0,5,0,0,0.0,0
188,0,0,1,0,0,0,0,1,0,5,0,1,1.0,1
189,0,0,1,0,0,0,0,1,0,2,0,1,0.0,0
190,0,0,1,0,0,0,0,1,0,7,0,1,0.0,1
191,0,0,1,0,0,0,0,1,0,7,0,1,0.0,0
192,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
193,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
194,1,0,0,0,0,1,0,0,0,5,0,0,0.0,1
195,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
196,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
197,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
198,0,0,1,0,0,0,0,1,0,2,0,0,0.0,0
199,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
200,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
201,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
202,0,1,0,0,0,1,0,0,0,5,0,0,0.0,0
203,0,1,0,0,0,1,0,0,0,5,0,0,0.0,1
204,0,1,0,0,0,0,0,1,0,5,0,0,0.0,1
205,0,1,0,0,0,0,1,0,0,5,1,0,0.0,0
206,0,1,0,0,0,0,1,0,0,5,1,0,0.0,0
207,0,0,1,0,0,0,0,1,0,5,0,2,1.0,1
208,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
209,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
210,0,1,0,0,0,0,0,1,0,5,0,0,0.0,1
211,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
212,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
213,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
214,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
215,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
216,0,0,1,0,1,0,0,0,0,5,0,0,0.0,0
217,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
218,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
219,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
220,0,1,0,0,0,0,0,1,0,7,0,0,0.0,0
221,0,1,0,0,0,1,0,0,0,5,0,3,1.0,1
222,0,0,1,0,0,0,0,1,0,7,0,0,0.0,0
223,0,0,1,0,0,0,0,1,0,0,0,1,1.0,1
224,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
225,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
226,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
227,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
228,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
229,0,0,1,0,0,0,1,0,0,3,1,0,0.0,0
230,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
231,0,0,1,1,0,0,0,0,0,3,1,0,0.0,0
232,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
233,0,0,1,0,0,0,0,0,1,3,1,0,0.0,1
234,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0
235,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
236,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1
237,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
238,0,0,1,1,0,0,0,0,0,3,1,2,0.5,1
239,0,0,1,0,0,0,0,1,0,3,0,1,0.0,1
240,0,0,1,0,0,1,0,0,0,3,1,0,0.0,0
241,0,0,1,0,0,1,0,0,0,3,1,0,0.5,1
242,0,1,0,0,0,1,0,0,0,0,0,0,0.0,1
243,0,0,1,0,0,1,0,0,0,3,0,0,0.5,1
244,0,0,1,0,0,1,0,0,0,3,1,0,0.5,1
245,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0
246,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
247,0,0,1,0,0,0,0,0,1,5,0,0,0.0,1
248,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
249,1,0,0,0,1,0,0,0,0,5,0,0,0.0,1
250,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
251,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
252,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
253,0,0,1,0,0,1,0,0,0,5,0,0,1.0,1
254,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
255,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
256,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
257,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
258,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
259,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
260,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
261,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
262,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
263,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
264,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
265,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
266,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
267,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
268,0,0,1,0,0,1,0,0,0,5,0,1,1.0,1
269,0,1,0,0,0,1,0,0,0,5,0,2,0.0,1
270,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
271,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
272,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
273,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
274,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
275,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
276,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
277,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0
278,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
279,0,0,1,0,0,0,0,1,0,0,0,1,0.0,1
280,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
281,0,1,0,0,1,0,0,0,0,5,0,0,0.0,1
282,1,0,0,0,0,1,0,0,0,5,0,0,0.0,1
283,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
284,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
285,1,0,0,0,0,1,0,0,0,5,0,0,0.0,1
286,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
287,1,0,0,0,0,1,0,0,0,5,0,0,0.0,1
288,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
289,0,0,1,0,0,0,1,0,0,0,1,1,0.0,1
290,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0
291,0,1,0,1,0,0,0,0,0,0,1,1,0.0,1
292,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
293,1,0,0,0,0,1,0,0,0,5,0,1,0.0,0
294,1,0,0,0,0,1,0,0,0,3,0,0,0.0,1
295,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
296,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
297,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
